nationality,year,Number_of_accident
American,1950,37
American,1951,38
American,1952,37
American,1953,58
American,1954,66
American,1955,44
American,1956,41
American,1957,47
American,1958,59
American,1959,68
American,1960,74
American,1961,36
American,1962,40
American,1963,58
American,1964,40
American,1965,29
American,1966,23
American,1967,15
American,1968,11
American,1969,6
American,1970,13
American,1971,15
American,1972,17
American,1973,26
American,1974,6
American,1975,27
American,1976,27
American,1977,31
American,1978,40
American,1979,15
American,1980,29
American,1981,31
American,1982,18
American,1983,30
American,1984,16
American,1985,16
American,1986,1
American,1987,16
American,1988,16
American,1989,16
American,1993,13
American,2006,18
American,2007,10
American,2015,5
American,2023,22
American,2024,12
American-Italian,1960,1
American-Italian,1961,1
Argentine,1950,10
Argentine,1951,15
Argentine,1952,2
Argentine,1953,29
Argentine,1954,37
Argentine,1955,19
Argentine,1956,13
Argentine,1957,12
Argentine,1958,3
Argentine,1960,5
Argentine,1962,1
Argentine,1963,3
Argentine,1972,10
Argentine,1973,15
Argentine,1974,15
Argentine,1975,14
Argentine,1976,13
Argentine,1977,17
Argentine,1978,16
Argentine,1979,17
Argentine,1980,21
Argentine,1981,21
Argentine,1982,2
Argentine,1988,16
Argentine,1989,5
Argentine,1997,4
Argentine,1998,16
Argentine,2000,17
Argentine,2001,4
Argentine-Italian,1957,1
Argentine-Italian,1959,1
Australian,1952,4
Australian,1955,1
Australian,1956,1
Australian,1957,7
Australian,1958,10
Australian,1959,8
Australian,1960,8
Australian,1961,8
Australian,1962,8
Australian,1963,10
Australian,1964,11
Australian,1965,17
Australian,1966,9
Australian,1967,11
Australian,1968,13
Australian,1969,8
Australian,1970,17
Australian,1971,11
Australian,1972,22
Australian,1973,1
Australian,1974,17
Australian,1975,9
Australian,1976,24
Australian,1977,24
Australian,1978,16
Australian,1979,15
Australian,1980,14
Australian,1981,15
Australian,1983,1
Australian,1985,4
Australian,1986,16
Australian,1990,16
Australian,1994,16
Australian,2002,17
Australian,2003,16
Australian,2004,18
Australian,2005,19
Australian,2006,18
Australian,2007,17
Australian,2008,18
Australian,2009,17
Australian,2010,19
Australian,2011,30
Australian,2012,40
Australian,2013,38
Australian,2014,19
Australian,2015,19
Australian,2016,21
Australian,2017,20
Australian,2018,21
Australian,2019,21
Australian,2020,17
Australian,2021,22
Australian,2022,22
Australian,2023,29
Australian,2024,26
Austrian,1964,1
Austrian,1965,10
Austrian,1966,9
Austrian,1967,10
Austrian,1968,12
Austrian,1969,10
Austrian,1970,10
Austrian,1971,5
Austrian,1972,17
Austrian,1973,14
Austrian,1974,19
Austrian,1975,17
Austrian,1976,34
Austrian,1977,32
Austrian,1978,22
Austrian,1979,14
Austrian,1980,1
Austrian,1982,14
Austrian,1983,15
Austrian,1984,28
Austrian,1985,30
Austrian,1986,16
Austrian,1987,16
Austrian,1988,16
Austrian,1989,15
Austrian,1990,16
Austrian,1991,18
Austrian,1992,30
Austrian,1993,32
Austrian,1994,23
Austrian,1995,23
Austrian,1996,16
Austrian,1997,17
Austrian,1998,16
Austrian,1999,16
Austrian,2000,17
Austrian,2004,18
Austrian,2005,27
Austrian,2006,15
Austrian,2007,16
Austrian,2010,3
Belgian,1950,6
Belgian,1951,8
Belgian,1952,14
Belgian,1953,10
Belgian,1954,7
Belgian,1955,4
Belgian,1956,8
Belgian,1958,4
Belgian,1959,4
Belgian,1960,11
Belgian,1961,13
Belgian,1962,5
Belgian,1963,6
Belgian,1964,3
Belgian,1965,1
Belgian,1967,3
Belgian,1968,17
Belgian,1969,11
Belgian,1970,13
Belgian,1971,11
Belgian,1972,12
Belgian,1973,12
Belgian,1974,16
Belgian,1975,9
Belgian,1976,14
Belgian,1977,16
Belgian,1978,4
Belgian,1979,8
Belgian,1983,10
Belgian,1984,16
Belgian,1985,16
Belgian,1986,16
Belgian,1987,16
Belgian,1988,16
Belgian,1989,30
Belgian,1990,32
Belgian,1991,43
Belgian,1992,45
Belgian,1993,10
Belgian,1994,18
Belgian,1995,11
Belgian,2011,19
Belgian,2012,1
Belgian,2016,1
Belgian,2017,20
Belgian,2018,21
Brazilian,1951,1
Brazilian,1952,6
Brazilian,1953,2
Brazilian,1955,3
Brazilian,1956,6
Brazilian,1959,3
Brazilian,1970,6
Brazilian,1971,10
Brazilian,1972,33
Brazilian,1973,46
Brazilian,1974,29
Brazilian,1975,41
Brazilian,1976,37
Brazilian,1977,38
Brazilian,1978,21
Brazilian,1979,32
Brazilian,1980,28
Brazilian,1981,29
Brazilian,1982,45
Brazilian,1983,34
Brazilian,1984,31
Brazilian,1985,32
Brazilian,1986,32
Brazilian,1987,34
Brazilian,1988,48
Brazilian,1989,64
Brazilian,1990,64
Brazilian,1991,62
Brazilian,1992,53
Brazilian,1993,46
Brazilian,1994,35
Brazilian,1995,51
Brazilian,1996,50
Brazilian,1997,45
Brazilian,1998,45
Brazilian,1999,45
Brazilian,2000,52
Brazilian,2001,64
Brazilian,2002,45
Brazilian,2003,43
Brazilian,2004,57
Brazilian,2005,44
Brazilian,2006,36
Brazilian,2007,34
Brazilian,2008,54
Brazilian,2009,37
Brazilian,2010,75
Brazilian,2011,46
Brazilian,2012,40
Brazilian,2013,19
Brazilian,2014,19
Brazilian,2015,38
Brazilian,2016,42
Brazilian,2017,19
Brazilian,2020,2
British,1950,21
British,1951,18
British,1952,55
British,1953,51
British,1954,39
British,1955,29
British,1956,43
British,1957,60
British,1958,91
British,1959,71
British,1960,77
British,1961,87
British,1962,75
British,1963,69
British,1964,77
British,1965,73
British,1966,71
British,1967,82
British,1968,76
British,1969,63
British,1970,75
British,1971,60
British,1972,62
British,1973,88
British,1974,99
British,1975,77
British,1976,62
British,1977,69
British,1978,49
British,1979,23
British,1980,35
British,1981,54
British,1982,65
British,1983,53
British,1984,56
British,1985,58
British,1986,75
British,1987,63
British,1988,63
British,1989,71
British,1990,48
British,1991,60
British,1992,63
British,1993,82
British,1994,89
British,1995,96
British,1996,80
British,1997,68
British,1998,64
British,1999,64
British,2000,67
British,2001,51
British,2002,70
British,2003,48
British,2004,36
British,2005,37
British,2006,36
British,2007,68
British,2008,58
British,2009,34
British,2010,38
British,2011,57
British,2012,60
British,2013,76
British,2014,55
British,2015,56
British,2016,63
British,2017,38
British,2018,21
British,2019,63
British,2020,51
British,2021,66
British,2022,66
British,2023,66
British,2024,40
Canadian,1961,1
Canadian,1963,1
Canadian,1967,2
Canadian,1968,1
Canadian,1969,5
Canadian,1970,10
Canadian,1971,2
Canadian,1972,1
Canadian,1974,1
Canadian,1977,3
Canadian,1978,16
Canadian,1979,15
Canadian,1980,14
Canadian,1981,17
Canadian,1982,5
Canadian,1983,1
Canadian,1986,9
Canadian,1996,16
Canadian,1997,17
Canadian,1998,16
Canadian,1999,16
Canadian,2000,17
Canadian,2001,17
Canadian,2002,17
Canadian,2003,15
Canadian,2004,3
Canadian,2005,19
Canadian,2006,12
Canadian,2017,20
Canadian,2018,21
Canadian,2019,21
Canadian,2020,33
Canadian,2021,44
Canadian,2022,44
Canadian,2023,22
Canadian,2024,13
Chilean,1981,15
Chilean,1982,16
Chilean,1983,6
Chinese,2022,22
Chinese,2023,22
Chinese,2024,13
Colombian,1981,1
Colombian,1982,15
Colombian,1983,14
Colombian,2001,17
Colombian,2002,17
Colombian,2003,16
Colombian,2004,18
Colombian,2005,17
Colombian,2006,10
Czech,2001,3
Danish,1974,4
Danish,1976,1
Danish,1995,1
Danish,1997,17
Danish,1998,7
Danish,2003,5
Danish,2014,19
Danish,2015,1
Danish,2016,21
Danish,2017,20
Danish,2018,21
Danish,2019,21
Danish,2020,17
Danish,2022,22
Danish,2023,22
Danish,2024,13
Dutch,1952,3
Dutch,1957,1
Dutch,1958,2
Dutch,1959,2
Dutch,1960,1
Dutch,1961,6
Dutch,1962,11
Dutch,1963,10
Dutch,1964,1
Dutch,1971,1
Dutch,1973,3
Dutch,1974,2
Dutch,1975,9
Dutch,1976,1
Dutch,1977,7
Dutch,1978,4
Dutch,1979,15
Dutch,1980,14
Dutch,1981,4
Dutch,1982,6
Dutch,1984,8
Dutch,1985,7
Dutch,1986,13
Dutch,1992,2
Dutch,1994,10
Dutch,1995,5
Dutch,1996,16
Dutch,1997,17
Dutch,1998,9
Dutch,2000,17
Dutch,2001,17
Dutch,2003,16
Dutch,2005,27
Dutch,2006,21
Dutch,2007,9
Dutch,2013,19
Dutch,2015,19
Dutch,2016,21
Dutch,2017,20
Dutch,2018,21
Dutch,2019,21
Dutch,2020,17
Dutch,2021,22
Dutch,2022,23
Dutch,2023,32
Dutch,2024,13
East German,1952,2
East German,1953,3
Finnish,1974,6
Finnish,1977,2
Finnish,1978,14
Finnish,1979,8
Finnish,1980,14
Finnish,1981,14
Finnish,1982,15
Finnish,1983,15
Finnish,1984,16
Finnish,1985,16
Finnish,1986,16
Finnish,1989,4
Finnish,1990,10
Finnish,1991,32
Finnish,1992,32
Finnish,1993,19
Finnish,1994,25
Finnish,1995,33
Finnish,1996,32
Finnish,1997,34
Finnish,1998,32
Finnish,1999,25
Finnish,2000,34
Finnish,2001,34
Finnish,2002,34
Finnish,2003,16
Finnish,2004,18
Finnish,2005,19
Finnish,2006,18
Finnish,2007,34
Finnish,2008,36
Finnish,2009,34
Finnish,2010,19
Finnish,2011,19
Finnish,2012,40
Finnish,2013,38
Finnish,2014,38
Finnish,2015,38
Finnish,2016,42
Finnish,2017,40
Finnish,2018,42
Finnish,2019,42
Finnish,2020,34
Finnish,2021,42
Finnish,2022,22
Finnish,2023,22
Finnish,2024,13
French,1950,37
French,1951,39
French,1952,28
French,1953,26
French,1954,32
French,1955,33
French,1956,26
French,1957,11
French,1958,22
French,1959,12
French,1960,6
French,1961,7
French,1962,9
French,1963,5
