Full_name,driverId,nationality,Race_count,Podium_percentage,AVG_finish_position,rank_by_podium_percentage
George Amick,591,American,1,1.0,2,1
Mauri Rose,768,American,2,0.5,3,2
Lee Wallard,766,American,2,0.5,3.5,3
Alfonso Thiele,491,American-Italian,2,0.0,,1
Juan Fangio,579,Argentine,58,0.6,2.25,1
José Froilán González,498,Argentine,29,0.52,3,2
Carlos Reutemann,199,Argentine,146,0.31,5.22,3
Alessandro de Tomaso,573,Argentine-Italian,2,0.0,9,1
Jack Brabham,356,Australian,129,0.24,4.63,1
Alan Jones,178,Australian,117,0.21,6.24,2
Mark Webber,17,Australian,217,0.19,6.6,3
Niki Lauda,182,Austrian,174,0.31,4.26,1
Gerhard Berger,77,Austrian,210,0.23,5.1,2
Jochen Rindt,358,Austrian,62,0.21,4.2,3
Jacky Ickx,235,Belgian,121,0.21,5.89,1
Olivier Gendebien,482,Belgian,17,0.12,6.27,2
Paul Frère,632,Belgian,11,0.09,5.8,3
Ayrton Senna,102,Brazilian,162,0.49,3.15,1
Nelson Piquet,137,Brazilian,207,0.29,4.14,2
Emerson Fittipaldi,224,Brazilian,149,0.23,6.02,3
Lewis Hamilton,1,British,345,0.58,3.57,1
Jim Clark,373,British,73,0.44,3.84,2
Jackie Stewart,328,British,100,0.43,2.95,3
Gilles Villeneuve,203,Canadian,68,0.19,5.95,1
Jacques Villeneuve,35,Canadian,165,0.14,7.05,2
Lance Stroll,840,Canadian,157,0.02,11.07,3
Eliseo Salazar,194,Chilean,37,0.0,10.5,1
Guanyu Zhou,855,Chinese,57,0.0,13.73,1
Juan Pablo Montoya,31,Colombian,95,0.32,4.21,1
Ricardo Londoño,218,Colombian,1,0.0,,2
Roberto Guerrero,195,Colombian,29,0.0,12.2,3
Tomáš Enge,61,Czech,3,0.0,13,1
Kevin Magnussen,825,Danish,177,0.01,12.58,1
Jac Nelleman,281,Danish,1,0.0,,2
Tom Belsø,311,Danish,4,0.0,8,3
Max Verstappen,830,Dutch,198,0.54,3.54,1
Jos Verstappen,50,Dutch,107,0.02,10.53,2
Ernie de Vos,450,Dutch,1,0.0,,3
Theo Fitzau,713,East German,1,0.0,,1
