nationality,Number_of_DNF,Number_of_race,DNF_percentage,AVG_finish_position
British,1877,4520,0.42,6.79
Italian,1889,3417,0.55,8.59
Argentine,164,372,0.44,5.38
American,628,1313,0.48,8.76
Australian,286,876,0.33,7.49
Brazilian,779,1953,0.4,7.53
Belgian,300,591,0.51,8.69
French,1343,3074,0.44,8.27
Venezuelan,46,120,0.38,12.57
German,759,2419,0.31,7.64
Polish,14,99,0.14,9.42
Canadian,145,487,0.3,9.89
Japanese,313,670,0.47,11.28
Mexican,119,457,0.26,8.54
Swiss,235,496,0.47,8.07
Uruguayan,4,7,0.57,7.67
New Zealander,165,401,0.41,6.37
Swedish,242,510,0.47,8.65
East German,2,5,0.4,13.67
Spanish,254,891,0.29,7.95
South African,97,210,0.46,6.48
Dutch,196,525,0.37,7.79
Indonesian,3,12,0.25,18.22
Monegasque,41,167,0.25,5.98
Thai,22,113,0.19,10.15
Finnish,342,1182,0.29,7.17
Austrian,315,690,0.46,6.6
Portuguese,38,87,0.44,12.27
Colombian,58,125,0.46,4.81
Irish,58,92,0.63,9.29
Danish,51,212,0.24,12.4
Liechtensteiner,9,13,0.69,11.5
Russian,42,213,0.2,12.37
Chilean,29,37,0.78,10.5
Hungarian,8,20,0.4,13.5
Rhodesian,10,18,0.56,9.13
Argentine-Italian,1,2,0.5,9
Indian,17,59,0.29,17.19
Malaysian,10,16,0.63,12.17
Czech,1,3,0.33,13
Chinese,9,57,0.16,13.73
American-Italian,2,2,1.0,
