nationality,Number_of_podium_driver,Number_of_podium,podium_per_person
British,41,765,18.66
Italian,28,207,7.39
Argentine,5,98,19.6
American,36,129,3.58
Australian,6,135,22.5
Swiss,3,36,12.0
French,23,310,13.48
Monegasque,2,36,18.0
Finnish,7,245,35.0
Spanish,4,131,32.75
German,13,415,31.92
Brazilian,9,293,32.56
Austrian,4,118,29.5
Swedish,5,44,8.8
Mexican,2,46,23.0
New Zealander,3,71,23.67
Dutch,2,109,54.5
Canadian,3,39,13.0
Belgian,6,45,7.5
Colombian,1,30,30.0
South African,2,36,18.0
Polish,1,12,12.0
Japanese,3,3,1.0
Russian,2,4,2.0
Rhodesian,1,1,1.0
Venezuelan,1,1,1.0
Portuguese,1,1,1.0
Danish,1,1,1.0
Thai,1,2,2.0
