nationality,number_of_driver,number_of_podium_driver,podium_driver_percentage,podium_per_driver
British,166,41,0.25,4.58
German,50,13,0.26,8.3
French,73,23,0.32,4.23
Brazilian,32,9,0.28,9.16
Finnish,9,7,0.78,27.22
Italian,99,28,0.28,2.04
Australian,18,6,0.33,7.5
Spanish,15,4,0.27,8.73
American,158,33,0.21,0.8
Austrian,15,4,0.27,7.87
Dutch,18,2,0.11,6.06
Argentine,24,5,0.21,3.79
New Zealander,10,3,0.3,7.1
Mexican,6,2,0.33,7.67
Belgian,23,6,0.26,1.96
Swedish,10,5,0.5,4.4
Canadian,14,3,0.21,2.79
Monegasque,4,2,0.5,9.0
South African,23,2,0.09,1.57
Swiss,23,3,0.13,1.57
Colombian,3,1,0.33,10.0
Polish,1,1,1.0,12.0
Russian,4,2,0.5,1.0
Japanese,20,3,0.15,0.15
Thai,2,1,0.5,1.0
Danish,5,1,0.2,0.2
Portuguese,4,1,0.25,0.25
Rhodesian,4,1,0.25,0.25
Venezuelan,3,1,0.33,0.33
American-Italian,1,,0.0,0.0
Chilean,1,,0.0,0.0
Chinese,1,,0.0,0.0
Czech,1,,0.0,0.0
East German,3,,0.0,0.0
Hungarian,1,,0.0,0.0
Indian,2,,0.0,0.0
Indonesian,1,,0.0,0.0
Irish,5,,0.0,0.0
Liechtensteiner,1,,0.0,0.0
Uruguayan,4,,0.0,0.0
Argentine-Italian,1,,0.0,0.0
Malaysian,1,,0.0,0.0
