Full_name,nationality,Podium_count,rank_by_podium
Dan Gurney,American,19,1
Mario Andretti,American,19,2
Phil Hill,American,16,3
Carlos Reutemann,Argentine,45,1
Juan Fangio,Argentine,35,2
José Froilán González,Argentine,15,3
Mark Webber,Australian,42,1
Daniel Ricciardo,Australian,32,2
Jack Brabham,Australian,31,3
Niki Lauda,Austrian,54,1
Gerhard Berger,Austrian,48,2
Jochen Rindt,Austrian,13,3
Jacky Ickx,Belgian,25,1
Thierry Boutsen,Belgian,15,2
Olivier Gendebien,Belgian,2,3
Ayrton Senna,Brazilian,80,1
Rubens Barrichello,Brazilian,68,2
Nelson Piquet,Brazilian,60,3
Lewis Hamilton,British,200,1
David Coulthard,British,62,2
Nigel Mansell,British,59,3
Jacques Villeneuve,Canadian,23,1
Gilles Villeneuve,Canadian,13,2
Lance Stroll,Canadian,3,3
Juan Pablo Montoya,Colombian,30,1
Kevin Magnussen,Danish,1,1
Max Verstappen,Dutch,107,1
Jos Verstappen,Dutch,2,2
Kimi Räikkönen,Finnish,103,1
Valtteri Bottas,Finnish,67,2
Mika Häkkinen,Finnish,51,3
Alain Prost,French,106,1
Jacques Laffite,French,32,2
Jean Alesi,French,32,3
Michael Schumacher,German,155,1
Sebastian Vettel,German,122,2
Nico Rosberg,German,57,3
Riccardo Patrese,Italian,37,1
Michele Alboreto,Italian,23,2
Nino Farina,Italian,20,3
Aguri Suzuki,Japanese,1,1
Kamui Kobayashi,Japanese,1,2
Takuma Sato,Japanese,1,3
Sergio Pérez,Mexican,39,1
Pedro Rodríguez,Mexican,7,2
Charles Leclerc,Monegasque,35,1
Louis Chiron,Monegasque,1,2
Denny Hulme,New Zealander,33,1
Bruce McLaren,New Zealander,27,2
Chris Amon,New Zealander,11,3
Robert Kubica,Polish,12,1
Tiago Monteiro,Portuguese,1,1
John Love,Rhodesian,1,1
Daniil Kvyat,Russian,3,1
Vitaly Petrov,Russian,1,2
Jody Scheckter,South African,33,1
Tony Maggs,South African,3,2
Fernando Alonso,Spanish,106,1
Carlos Sainz,Spanish,23,2
Alfonso de Portago,Spanish,1,3
Ronnie Peterson,Swedish,26,1
Stefan Johansson,Swedish,12,2
Gunnar Nilsson,Swedish,4,3
Clay Regazzoni,Swiss,28,1
Jo Siffert,Swiss,6,2
Rudi Fischer,Swiss,2,3
Alexander Albon,Thai,2,1
Pastor Maldonado,Venezuelan,1,1
