Full_name,nationality,Podium_percentage,rank_by_podium_percentage
George Amick,American,1.0,1
Mauri Rose,American,0.5,2
Lee Wallard,American,0.5,3
Juan Fangio,Argentine,0.6,1
José Froilán González,Argentine,0.52,2
Carlos Reutemann,Argentine,0.31,3
Jack Brabham,Australian,0.24,1
Alan Jones,Australian,0.21,2
Mark Webber,Australian,0.19,3
Niki Lauda,Austrian,0.31,1
Gerhard Berger,Austrian,0.23,2
Jochen Rindt,Austrian,0.21,3
Jacky Ickx,Belgian,0.21,1
Olivier Gendebien,Belgian,0.12,2
Paul Frère,Belgian,0.09,3
Ayrton Senna,Brazilian,0.49,1
Nelson Piquet,Brazilian,0.29,2
Emerson Fittipaldi,Brazilian,0.23,3
Lewis Hamilton,British,0.58,1
Jim Clark,British,0.44,2
Jackie Stewart,British,0.43,3
Gilles Villeneuve,Canadian,0.19,1
Jacques Villeneuve,Canadian,0.14,2
Lance Stroll,Canadian,0.02,3
Juan Pablo Montoya,Colombian,0.32,1
Kevin Magnussen,Danish,0.01,1
Max Verstappen,Dutch,0.54,1
Jos Verstappen,Dutch,0.02,2
Mika Häkkinen,Finnish,0.31,1
Kimi Räikkönen,Finnish,0.29,2
Valtteri Bottas,Finnish,0.28,3
Alain Prost,French,0.52,1
François Cevert,French,0.28,2
Patrick Depailler,French,0.2,3
Michael Schumacher,German,0.5,1
Sebastian Vettel,German,0.41,2
Nico Rosberg,German,0.28,3
Dorino Serafini,Italian,1.0,1
Luigi Fagioli,Italian,0.75,2
Nino Farina,Italian,0.54,3
Aguri Suzuki,Japanese,0.01,1
Kamui Kobayashi,Japanese,0.01,2
Takuma Sato,Japanese,0.01,3
Sergio Pérez,Mexican,0.14,1
Pedro Rodríguez,Mexican,0.13,2
Charles Leclerc,Monegasque,0.25,1
Louis Chiron,Monegasque,0.06,2
Denny Hulme,New Zealander,0.29,1
Bruce McLaren,New Zealander,0.26,2
Chris Amon,New Zealander,0.1,3
Robert Kubica,Polish,0.12,1
Tiago Monteiro,Portuguese,0.03,1
John Love,Rhodesian,0.1,1
Daniil Kvyat,Russian,0.03,1
Vitaly Petrov,Russian,0.02,2
Jody Scheckter,South African,0.29,1
Tony Maggs,South African,0.11,2
Fernando Alonso,Spanish,0.27,1
Alfonso de Portago,Spanish,0.17,2
Carlos Sainz,Spanish,0.12,3
Ronnie Peterson,Swedish,0.21,1
Gunnar Nilsson,Swedish,0.13,2
Stefan Johansson,Swedish,0.12,3
Rudi Fischer,Swiss,0.29,1
Clay Regazzoni,Swiss,0.2,2
Jo Siffert,Swiss,0.06,3
Alexander Albon,Thai,0.02,1
Pastor Maldonado,Venezuelan,0.01,1
